Bezirk;Name;Role;department_keywords;Party;SourceURL;RoleRaw
Berlin;Kai Wegner;Regierender Bürgermeister;[];CDU;https://www.berlin.de/rbmskzl/regierender-buergermeister/lebenslauf-kai-wegner-1377144.php; Kai Wegner (CDU)

Berlin;Franziska Giffey;Senatorin;["wirtschaft","energie","betriebe"];SPD;https://www.berlin.de/sen/web/ueber-uns/leitung-und-organisation/senatorin-franziska-giffey/; Franziska Giffey (SPD)

Berlin;Stefan Evers;Senator;["finanzen"];CDU;https://www.berlin.de/sen/finanzen/ueber-uns/leitung-organisation/der-senator/artikel.4892.php; Stefan Evers (CDU)

Berlin;Cansel Kiziltepe;Senatorin;["arbeit","soziales","gleichstellung","integration","vielfalt","antidiskriminierung"];SPD;https://www.berlin.de/sen/asgiva/ueber-uns/leitung/senatorin-fuer-arbeit-soziales-gleichstellung-integration-vielfalt-und-antidiskriminierung/lebenslauf.1361057.php; Cansel Kiziltepe (SPD)

Berlin;Katharina Günther-Wünsch;Senatorin;["bildung","jugend","familie"];CDU;https://www.berlin.de/sen/bjf/ueber-uns/leitung/senatorin-guenther-wuensch/lebenslauf.1317830.php; Katharina Günther-Wünsch (CDU)

Berlin;Iris Spranger;Senatorin;["inneres","sport"];SPD;https://www.berlin.de/sen/inneres/ueber-uns/hausleitung/senatorin-iris-spranger/artikel.1161228.php; Iris Spranger (SPD)

Berlin;Felor Badenberg;Senatorin;["justiz","verbraucherschutz"];CDU;https://www.berlin.de/sen/justv/ueber-uns/leitung/senatorin-fuer-justiz-und-verbraucherschutz/lebenslauf.1318638.php; Felor Badenberg (CDU)

Berlin;Ute Bonde;Senatorin;["mobilitaet","verkehr","klimaschutz","umwelt"];CDU;https://www.berlin.de/sen/uvk/ueber-uns/leitung/senatorin-ute-bonde/; Ute Bonde (CDU)

Berlin;Christian Gaebler;Senator;["stadtentwicklung","bauen","wohnen"];SPD;https://www.berlin.de/sen/sbw/ueber-uns/leitung/senator-christian-gaebler/; Christian Gaebler (SPD)

Berlin;Ina Czyborra;Senatorin;["wissenschaft","gesundheit","pflege"];SPD;https://www.berlin.de/sen/wgp/ueber-uns/leitung/lebenslauf.1160500.php; Ina Czyborra (SPD)

Berlin;Sarah Wedl-Wilson;Senatorin;["kultur","gesellschaftlicher_zusammenhalt"];parteilos;https://www.berlin.de/rbmskzl/politik/senat/senatsmitglieder/; Sarah Wedl-Wilson (parteilos)